Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Textile_ apparel_ and furnishings workers_ all other,16,0,12,0,4,0
Cabinetmakers and bench carpenters,40,0,38,0,2,0
Furniture finishers,6,0,6,0,0,0
Model makers and patternmakers_ wood,0,0,0,0,0,0
Sawing machine setters_ operators_ and tenders_ wood,26,0,22,0,4,0
Woodworking machine setters_ operators_ and tenders_ except sawing,23,0,21,0,1,0
Woodworkers_ all other,17,0,14,0,3,0
Power plant operators_ distributors_ and dispatchers,35,0,34,0,1,0
Statio0ry engineers and boiler operators,84,996,81,1012,3,0
Water and wastewater treatment plant and system operators,82,880,79,868,3,0
Miscellaneous plant and system operators,35,0,33,0,3,0
Chemical processing machine setters_ operators_ and tenders,62,1052,57,1082,5,0
Crushing_ grinding_ polishing_ mixing_ and blending workers,82,652,75,668,7,0
Cutting workers,51,685,41,0,9,0
Extruding_ forming_ pressing_ and compacting machine setters_ operators_ and tenders,31,0,25,0,6,0
Fur0ce_ kiln_ oven_ drier_ and kettle operators and tenders,6,0,5,0,0,0
Inspectors_ testers_ sorters_ samplers_ and weighers,701,710,440,844,260,583
Jewelers and precious stone and metal workers,19,0,11,0,7,0
Medical_ dental_ and ophthalmic laboratory technicians,86,648,44,0,42,0
Packaging and filling machine operators and tenders,239,518,118,605,120,482
Painting workers,129,708,110,733,18,0
Photographic process workers and processing machine operators,26,0,12,0,14,0
Semiconductor processors,1,0,1,0,0,0
Adhesive bonding machine operators and tenders,9,0,5,0,4,0
Cleaning_ washing_ and metal pickling equipment operators and tenders,4,0,2,0,1,0
Cooling and freezing equipment operators and tenders,4,0,3,0,0,0
Etchers and engravers,12,0,8,0,4,0
Molders_ shapers_ and casters_ except metal and plastic,14,0,12,0,2,0
Paper goods machine setters_ operators_ and tenders,27,0,22,0,5,0
Tire builders,8,0,8,0,0,0
Helpers--production workers,24,0,18,0,7,0
Production workers_ all other,846,625,643,666,203,501
TRANSPORTATION,6953,646,5998,679,955,494
Supervisors of transportation and material moving workers,186,894,153,898,33,0
Aircraft pilots and flight engineers,114,1735,104,1830,9,0
Air traffic controllers and airfield operations specialists,32,0,24,0,8,0
Flight attendants,63,846,20,0,43,0
Ambulance drivers and attendants_ except emergency medical technicians,18,0,14,0,4,0
Bus drivers,323,615,184,681,138,572
Driver/sales workers and truck drivers,2687,747,2582,751,105,632
Taxi drivers and chauffeurs,253,585,216,600,38,0
Motor vehicle operators_ all other,21,0,18,0,3,0
Locomotive engineers and operators,44,0,42,0,2,0
Railroad brake_ sig0l_ and switch operators,5,0,5,0,0,0
